Iter, Pi
1297, 4.04626
1298, 4.04314
1299, 4.04619
1300, 4.04308
1301, 4.03997
1302, 4.03687
1303, 4.03377
1304, 4.03067
1305, 4.03372
1306, 4.03063
1307, 4.03366
1308, 4.0367
1309, 4.03972
1310, 4.03664
1311, 4.03966
1312, 4.03659
1313, 4.0396
1314, 4.03653
1315, 4.03346
1316, 4.03647
1317, 4.03948
1318, 4.04249
1319, 4.03942
1320, 4.03636
1321, 4.03936
1322, 4.04236
1323, 4.0393
1324, 4.0423
1325, 4.04528
1326, 4.04223
1327, 4.04521
1328, 4.04217
1329, 4.03913
1330, 4.04211
1331, 4.03907
1332, 4.03604
1333, 4.03901
1334, 4.03598
1335, 4.03895
1336, 4.04192
1337, 4.03889
1338, 4.04185
1339, 4.04481
1340, 4.04776
1341, 4.05071
1342, 4.05365
1343, 4.05063
1344, 4.04762
1345, 4.04461
1346, 4.04755
1347, 4.05048
1348, 4.04748
1349, 4.05041
1350, 4.04741
1351, 4.05033
1352, 4.05325
1353, 4.05026
1354, 4.04727
1355, 4.04428
1356, 4.0413
1357, 4.03832
1358, 4.04124
1359, 4.03826
1360, 4.04118
1361, 4.03821
1362, 4.04112
1363, 4.03815
1364, 4.04106
1365, 4.0381
1366, 4.03514
1367, 4.03804
1368, 4.04094
1369, 4.03798
1370, 4.03504
1371, 4.03209
1372, 4.03499
1373, 4.03205
1374, 4.03493
1375, 4.03782
1376, 4.0407
1377, 4.03776
1378, 4.04064
1379, 4.03771
1380, 4.04058
1381, 4.04345
1382, 4.04631
1383, 4.04917
1384, 4.05202
1385, 4.05487
1386, 4.05772
1387, 4.06056
1388, 4.05764
1389, 4.06048
1390, 4.05755
1391, 4.05464
1392, 4.05172
1393, 4.05456
1394, 4.05739
1395, 4.05448
1396, 4.05731
1397, 4.0544
1398, 4.05722
1399, 4.05432
1400, 4.05714
1401, 4.05425
1402, 4.05136
1403, 4.05417
1404, 4.05698
1405, 4.05979
1406, 4.0569
1407, 4.0597
1408, 4.05682
1409, 4.05962
1410, 4.06241
1411, 4.05953
1412, 4.06232
1413, 4.06511
1414, 4.06223
1415, 4.05936
1416, 4.06215
1417, 4.06493
1418, 4.0677
1419, 4.07047
1420, 4.07324
1421, 4.076
1422, 4.07876
1423, 4.08152
1424, 4.07865
1425, 4.07579
1426, 4.07854
1427, 4.08129
1428, 4.07843
1429, 4.08118
1430, 4.07832
1431, 4.08106
1432, 4.07821
1433, 4.07537
1434, 4.0781
1435, 4.08084
1436, 4.07799
1437, 4.08072
1438, 4.07789
1439, 4.08061
1440, 4.08333
1441, 4.08605
1442, 4.08322
1443, 4.08039
1444, 4.07756
1445, 4.07474
1446, 4.07192
1447, 4.07464
1448, 4.07182
1449, 4.06901
1450, 4.06621
1451, 4.06892
1452, 4.07163
1453, 4.06882
1454, 4.07153
1455, 4.06873
1456, 4.06593
1457, 4.06314
1458, 4.06036
1459, 4.05757
1460, 4.06027
1461, 4.05749
1462, 4.05472
1463, 4.05742
1464, 4.05464
1465, 4.05734
1466, 4.06003
1467, 4.06271
1468, 4.05995
1469, 4.05718
1470, 4.05986
1471, 4.06254
1472, 4.05978
1473, 4.05703
1474, 4.05427
1475, 4.05153
1476, 4.04878
1477, 4.05146
1478, 4.04871
1479, 4.05139
1480, 4.04865
1481, 4.04591
1482, 4.04318
1483, 4.04046
1484, 4.04313
1485, 4.04579
1486, 4.04307
1487, 4.04035
1488, 4.03763
1489, 4.03492
1490, 4.03221
1491, 4.02951
1492, 4.02681
1493, 4.02411
1494, 4.02142
1495, 4.02408
1496, 4.02674
1497, 4.02939
1498, 4.03204
1499, 4.03469
1500, 4.03733
1501, 4.03464
1502, 4.03196
1503, 4.0346
1504, 4.03191
1505, 4.03455
1506, 4.03718
1507, 4.03451
1508, 4.03183
1509, 4.02916
1510, 4.02649
1511, 4.02383
1512, 4.02646
1513, 4.02908
1514, 4.0317
1515, 4.02904
1516, 4.03166
1517, 4.03428
1518, 4.03689
1519, 4.0395
1520, 4.03684
1521, 4.03945
1522, 4.04205
1523, 4.0394
1524, 4.03675
1525, 4.03934
1526, 4.04194
1527, 4.04453
1528, 4.04712
1529, 4.04971
1530, 4.05229
1531, 4.04964
1532, 4.047
1533, 4.04958
1534, 4.05215
1535, 4.04951
1536, 4.05208
1537, 4.04945
1538, 4.04681
1539, 4.04938
1540, 4.04675
1541, 4.04413
1542, 4.0415
1543, 4.03889
1544, 4.04145
1545, 4.04401
1546, 4.04657
1547, 4.04396
1548, 4.04134
1549, 4.0439
1550, 4.04645
1551, 4.04384
1552, 4.04124
1553, 4.03863
1554, 4.04118
1555, 4.04373
1556, 4.04113
1557, 4.04367
1558, 4.04621
1559, 4.04875
1560, 4.05128
1561, 4.04869
1562, 4.05122
1563, 4.04862
1564, 4.05115
1565, 4.05367
1566, 4.05619
1567, 4.05361
1568, 4.05612
1569, 4.05864
1570, 4.06115
1571, 4.05856
1572, 4.05598
1573, 4.05849
1574, 4.05591
1575, 4.05841
1576, 4.05584
1577, 4.05327
1578, 4.05577
1579, 4.0532
1580, 4.0557
1581, 4.05313
1582, 4.05563
1583, 4.05306
1584, 4.05556
1585, 4.05804
1586, 4.05549
1587, 4.05293
1588, 4.05038
1589, 4.04783
1590, 4.04528
1591, 4.04777
1592, 4.04523
1593, 4.04269
1594, 4.04517
1595, 4.04765
1596, 4.04511
1597, 4.04258
1598, 4.04506
1599, 4.04253
1600, 4.045
1601, 4.04247
1602, 4.03995
1603, 4.04242
1604, 4.04489
1605, 4.04735
1606, 4.04981
1607, 4.05227
1608, 4.05473
1609, 4.05718
1610, 4.05466
1611, 4.05711
1612, 4.05459
1613, 4.05704
1614, 4.05452
1615, 4.05697
1616, 4.05941
1617, 4.0569
1618, 4.05439
1619, 4.05683
1620, 4.05926
1621, 4.06169
1622, 4.06412
1623, 4.06654
1624, 4.06404
1625, 4.06646
1626, 4.06888
1627, 4.06638
1628, 4.06388
1629, 4.06139
1630, 4.0589
1631, 4.06131
1632, 4.06373
1633, 4.06124
1634, 4.05875
1635, 4.05627
1636, 4.05868
1637, 4.0562
1638, 4.05861
1639, 4.06101
1640, 4.05854
1641, 4.06094
1642, 4.05847
1643, 4.06086
1644, 4.06326
1645, 4.06079
1646, 4.05832
1647, 4.05586
1648, 4.05825
1649, 4.05579
1650, 4.05818
1651, 4.05572
1652, 4.05327
1653, 4.05082
1654, 4.0532
1655, 4.05076
1656, 4.05314
1657, 4.05069
1658, 4.04825
1659, 4.05063
1660, 4.04819
1661, 4.04576
1662, 4.04813
1663, 4.05051
1664, 4.04808
1665, 4.04565
1666, 4.04322
1667, 4.04559
1668, 4.04317
1669, 4.04554
1670, 4.04311
1671, 4.04069
1672, 4.04306
1673, 4.04065
1674, 4.04301
1675, 4.0406
1676, 4.04296
1677, 4.04532
1678, 4.04291
1679, 4.04527
1680, 4.04286
1681, 4.04521
1682, 4.04756
1683, 4.04991
