Iter^{-1/2}, Pi
0.0402259, 3.89644
0.0401934, 3.89015
0.040161, 3.88387
0.0401286, 3.8905
0.0400963, 3.89711
0.0400642, 3.89085
0.040032, 3.88462
0.04, 3.8784
0.039968, 3.88498
0.0399362, 3.87879
0.0399043, 3.87261
0.0398726, 3.86645
0.039841, 3.86032
0.0398094, 3.86688
0.0397779, 3.86076
0.0397464, 3.8673
0.0397151, 3.87382
0.0396838, 3.86772
0.0396526, 3.87421
0.0396214, 3.86813
0.0395904, 3.87461
0.0395594, 3.86854
0.0395285, 3.8625
0.0394976, 3.86895
0.0394669, 3.86293
0.0394362, 3.86936
0.0394055, 3.87578
0.039375, 3.88217
0.0393445, 3.88854
0.0393141, 3.8949
0.0392837, 3.90123
0.0392534, 3.89522
0.0392232, 3.88923
0.0391931, 3.89555
0.039163, 3.90184
0.039133, 3.90812
0.0391031, 3.90214
0.0390732, 3.89618
0.0390434, 3.90244
0.0390137, 3.90868
0.0389841, 3.91489
0.0389545, 3.90895
0.0389249, 3.90303
0.0388955, 3.89713
0.0388661, 3.89124
0.0388368, 3.88537
0.0388075, 3.87952
0.0387783, 3.87368
0.0387492, 3.87988
0.0387202, 3.88606
0.0386912, 3.89222
0.0386622, 3.8864
0.0386334, 3.8806
0.0386046, 3.87481
0.0385758, 3.88095
0.0385472, 3.88707
0.0385186, 3.89318
0.03849, 3.88741
0.0384615, 3.89349
0.0384331, 3.88774
0.0384048, 3.88201
0.0383765, 3.88807
0.0383482, 3.88235
0.0383201, 3.8884
0.038292, 3.89443
0.0382639, 3.88873
0.038236, 3.88304
0.038208, 3.88905
0.0381802, 3.88338
0.0381524, 3.88937
0.0381246, 3.89535
0.038097, 3.8897
0.0380693, 3.89565
0.0380418, 3.90159
0.0380143, 3.89595
0.0379869, 3.90188
0.0379595, 3.89625
0.0379322, 3.90216
0.0379049, 3.90805
0.0378777, 3.91392
0.0378506, 3.90831
0.0378235, 3.90272
0.0377964, 3.90857
0.0377695, 3.903
0.0377426, 3.90883
0.0377157, 3.91465
0.0376889, 3.92045
0.0376622, 3.91489
0.0376355, 3.90935
0.0376089, 3.91513
0.0375823, 3.9096
0.0375558, 3.90409
0.0375293, 3.89859
0.0375029, 3.90436
0.0374766, 3.91011
0.0374503, 3.91585
0.0374241, 3.91036
0.0373979, 3.91608
0.0373718, 3.92179
0.0373457, 3.91632
0.0373197, 3.92201
0.0372937, 3.92768
0.0372678, 3.92222
0.0372419, 3.91678
0.0372161, 3.92244
0.0371904, 3.91701
0.0371647, 3.92265
0.0371391, 3.92828
0.0371135, 3.93388
0.0370879, 3.93948
0.0370625, 3.94505
0.037037, 3.93964
0.0370117, 3.94521
0.0369863, 3.93981
0.0369611, 3.94536
0.0369358, 3.95089
0.0369107, 3.9564
0.0368856, 3.95102
0.0368605, 3.94565
0.0368355, 3.95115
0.0368105, 3.95664
0.0367856, 3.95129
0.0367607, 3.95676
0.0367359, 3.95142
0.0367112, 3.95687
0.0366864, 3.95155
0.0366618, 3.95699
0.0366372, 3.95168
0.0366126, 3.94638
0.0365881, 3.95181
0.0365636, 3.94652
0.0365392, 3.95194
0.0365148, 3.94667
0.0364905, 3.94141
0.0364662, 3.94681
0.036442, 3.95219
0.0364179, 3.94695
0.0363937, 3.95232
0.0363696, 3.94709
0.0363456, 3.94188
0.0363216, 3.94723
0.0362977, 3.94203
0.0362738, 3.94737
0.03625, 3.95269
0.0362262, 3.95801
0.0362024, 3.9633
0.0361787, 3.96859
0.0361551, 3.9634
0.0361315, 3.96867
0.0361079, 3.96349
0.0360844, 3.95833
0.0360609, 3.96359
0.0360375, 3.95844
0.0360141, 3.96368
0.0359908, 3.95855
0.0359675, 3.96378
0.0359443, 3.95866
0.0359211, 3.96387
0.0358979, 3.95876
0.0358748, 3.95367
0.0358517, 3.94859
0.0358287, 3.95379
0.0358057, 3.95897
0.0357828, 3.96415
0.0357599, 3.96931
0.0357371, 3.96424
0.0357143, 3.96939
0.0356915, 3.96433
0.0356688, 3.96947
0.0356462, 3.96442
0.0356235, 3.96954
0.0356009, 3.97465
0.0355784, 3.96962
0.0355559, 3.9646
0.0355335, 3.9596
0.035511, 3.96469
0.0354887, 3.9597
0.0354663, 3.96478
0.0354441, 3.96985
0.0354218, 3.96487
0.0353996, 3.96992
0.0353775, 3.96496
0.0353553, 3.96
0.0353333, 3.95506
0.0353112, 3.95012
0.0352892, 3.94521
0.0352673, 3.95025
0.0352454, 3.94534
0.0352235, 3.94045
0.0352017, 3.93556
0.0351799, 3.94059
0.0351581, 3.94561
0.0351364, 3.95062
0.0351147, 3.95561
0.0350931, 3.95074
0.0350715, 3.94588
0.03505, 3.94103
0.0350285, 3.9362
0.035007, 3.94118
0.0349856, 3.93635
0.0349642, 3.94132
