Iter^{-1/2}, Pi
0.050637, 0.794872
0.0505722, 0.795396
0.0505076, 0.795918
0.0504433, 0.796438
0.0503793, 0.796954
0.0503155, 0.797468
0.0502519, 0.79798
0.0501886, 0.79597
0.0501255, 0.796482
0.0500626, 0.796992
0.05, 0.7975
0.0499376, 0.795511
0.0498755, 0.79602
0.0498135, 0.794045
0.0497519, 0.794554
0.0496904, 0.795062
0.0496292, 0.795567
0.0495682, 0.796069
0.0495074, 0.794118
0.0494468, 0.794621
0.0493865, 0.795122
0.0493264, 0.79562
0.0492665, 0.796117
0.0492068, 0.79661
0.0491473, 0.794686
0.0490881, 0.792771
0.049029, 0.793269
0.0489702, 0.791367
0.0489116, 0.789474
0.0488532, 0.789976
0.048795, 0.790476
0.048737, 0.790974
0.0486792, 0.791469
0.0486217, 0.789598
0.0485643, 0.790094
0.0485071, 0.790588
0.0484502, 0.788732
0.0483934, 0.789227
0.0483368, 0.787383
0.0482805, 0.787879
0.0482243, 0.788372
0.0481683, 0.786543
0.0481125, 0.787037
0.0480569, 0.787529
0.0480015, 0.788018
0.0479463, 0.788506
0.0478913, 0.786697
0.0478365, 0.787185
0.0477818, 0.787671
0.0477274, 0.785877
0.0476731, 0.784091
0.047619, 0.78458
0.0475651, 0.785068
0.0475114, 0.785553
0.0474579, 0.783784
0.0474045, 0.78427
0.0473514, 0.784753
0.0472984, 0.785235
0.0472456, 0.785714
0.0471929, 0.786192
0.0471405, 0.786667
0.0470882, 0.78714
0.047036, 0.787611
0.0469841, 0.788079
0.0469323, 0.788546
0.0468807, 0.789011
0.0468293, 0.789474
0.046778, 0.789934
0.0467269, 0.790393
0.046676, 0.788671
0.0466252, 0.78913
0.0465746, 0.787419
0.0465242, 0.787879
0.0464739, 0.788337
0.0464238, 0.788793
0.0463739, 0.789247
0.0463241, 0.7897
0.0462745, 0.79015
0.046225, 0.790598
0.0461757, 0.791045
0.0461266, 0.791489
0.0460776, 0.789809
0.0460287, 0.788136
0.04598, 0.788584
0.0459315, 0.78903
0.0458831, 0.789474
0.0458349, 0.789916
0.0457869, 0.790356
0.0457389, 0.788703
0.0456912, 0.787056
0.0456435, 0.7875
0.0455961, 0.787942
0.0455488, 0.788382
0.0455016, 0.78882
0.0454545, 0.789256
0.0454077, 0.789691
0.0453609, 0.790123
0.0453143, 0.790554
0.0452679, 0.790984
0.0452216, 0.791411
0.0451754, 0.791837
0.0451294, 0.792261
0.0450835, 0.792683
0.0450377, 0.793103
0.0449921, 0.791498
0.0449467, 0.791919
0.0449013, 0.792339
0.0448561, 0.792757
0.0448111, 0.793173
0.0447661, 0.793587
0.0447214, 0.792
0.0446767, 0.792415
0.0446322, 0.792829
0.0445878, 0.793241
0.0445435, 0.793651
0.0444994, 0.794059
0.0444554, 0.794466
0.0444116, 0.792899
0.0443678, 0.793307
0.0443242, 0.793713
0.0442807, 0.792157
0.0442374, 0.792564
0.0441942, 0.792969
0.0441511, 0.793372
0.0441081, 0.793774
0.0440653, 0.794175
0.0440225, 0.794574
0.0439799, 0.794971
0.0439375, 0.793436
0.0438951, 0.793834
0.0438529, 0.792308
0.0438108, 0.792706
0.0437688, 0.793103
0.0437269, 0.793499
0.0436852, 0.793893
0.0436436, 0.792381
0.0436021, 0.792776
0.0435607, 0.793169
0.0435194, 0.793561
0.0434783, 0.793951
0.0434372, 0.79434
0.0433963, 0.794727
0.0433555, 0.795113
0.0433148, 0.795497
0.0432742, 0.79588
0.0432338, 0.796262
0.0431934, 0.796642
0.0431532, 0.79702
0.0431131, 0.797398
0.043073, 0.795918
0.0430331, 0.796296
0.0429934, 0.796673
0.0429537, 0.795203
0.0429141, 0.79558
0.0428746, 0.795956
0.0428353, 0.794495
0.042796, 0.79304
0.0427569, 0.793419
0.0427179, 0.793796
0.042679, 0.79235
0.0426401, 0.792727
0.0426014, 0.791289
0.0425628, 0.791667
0.0425243, 0.792043
0.0424859, 0.792419
0.0424476, 0.790991
0.0424094, 0.791367
0.0423714, 0.789946
0.0423334, 0.790323
0.0422955, 0.790698
0.0422577, 0.791071
0.04222, 0.791444
0.0421825, 0.791815
0.042145, 0.792185
0.0421076, 0.79078
0.0420703, 0.789381
0.0420331, 0.789753
0.0419961, 0.78836
0.0419591, 0.786972
0.0419222, 0.787346
0.0418854, 0.787719
0.0418487, 0.788091
0.0418121, 0.788462
0.0417756, 0.788831
0.0417392, 0.787456
0.0417029, 0.787826
0.0416667, 0.786458
0.0416305, 0.786828
0.0415945, 0.787197
0.0415586, 0.787565
0.0415227, 0.786207
0.041487, 0.786575
0.0414513, 0.786942
0.0414158, 0.787307
0.0413803, 0.785959
0.0413449, 0.786325
0.0413096, 0.786689
0.0412744, 0.787053
0.0412393, 0.787415
0.0412043, 0.786078
0.0411693, 0.786441
0.0411345, 0.786802
0.0410997, 0.787162
0.0410651, 0.787521
0.0410305, 0.787879
0.040996, 0.788235
0.0409616, 0.788591
0.0409273, 0.788945
0.040893, 0.789298
0.0408589, 0.78798
0.0408248, 0.788333
0.0407909, 0.788686
0.040757, 0.789037
0.0407231, 0.789386
0.0406894, 0.789735
0.0406558, 0.790083
0.0406222, 0.788779
0.0405887, 0.789127
0.0405554, 0.789474
0.040522, 0.789819
0.0404888, 0.790164
0.0404557, 0.788871
0.0404226, 0.789216
0.0403896, 0.78956
0.0403567, 0.789902
0.0403239, 0.790244
0.0402911, 0.788961
0.0402585, 0.789303
0.0402259, 0.789644
0.0401934, 0.789984
0.040161, 0.790323
0.0401286, 0.79066
0.0400963, 0.790997
0.0400642, 0.791332
0.040032, 0.791667
0.04, 0.792
0.039968, 0.792332
0.0399362, 0.792663
0.0399043, 0.791401
0.0398726, 0.791733
0.039841, 0.792063
0.0398094, 0.792393
0.0397779, 0.792722
0.0397464, 0.793049
0.0397151, 0.793375
0.0396838, 0.793701
0.0396526, 0.792453
0.0396214, 0.792779
0.0395904, 0.793103
0.0395594, 0.793427
0.0395285, 0.79375
0.0394976, 0.794072
0.0394669, 0.794393
0.0394362, 0.794712
0.0394055, 0.795031
0.039375, 0.795349
0.0393445, 0.795666
0.0393141, 0.795981
0.0392837, 0.794753
0.0392534, 0.795069
0.0392232, 0.795385
0.0391931, 0.795699
0.039163, 0.796012
0.039133, 0.794793
0.0391031, 0.795107
0.0390732, 0.79542
0.0390434, 0.795732
0.0390137, 0.796043
0.0389841, 0.796353
0.0389545, 0.796662
0.0389249, 0.79697
0.0388955, 0.797277
0.0388661, 0.797583
0.0388368, 0.797888
0.0388075, 0.796687
0.0387783, 0.796992
0.0387492, 0.797297
0.0387202, 0.797601
0.0386912, 0.797904
0.0386622, 0.798206
0.0386334, 0.798507
0.0386046, 0.798808
0.0385758, 0.799107
0.0385472, 0.79792
0.0385186, 0.79822
0.03849, 0.797037
0.0384615, 0.797337
0.0384331, 0.797637
0.0384048, 0.797935
0.0383765, 0.798233
0.0383482, 0.797059
0.0383201, 0.797357
0.038292, 0.797654
0.0382639, 0.79795
0.038236, 0.798246
0.038208, 0.79854
0.0381802, 0.798834
0.0381524, 0.799127
0.0381246, 0.799419
0.038097, 0.79971
0.0380693, 0.8
0.0380418, 0.800289
0.0380143, 0.799133
0.0379869, 0.799423
0.0379595, 0.799712
0.0379322, 0.8
0.0379049, 0.800287
0.0378777, 0.800574
0.0378506, 0.799427
0.0378235, 0.799714
0.0377964, 0.798571
0.0377695, 0.798859
0.0377426, 0.799145
0.0377157, 0.799431
0.0376889, 0.799716
0.0376622, 0.798582
0.0376355, 0.798867
0.0376089, 0.799151
0.0375823, 0.799435
0.0375558, 0.799718
0.0375293, 0.8
0.0375029, 0.798875
0.0374766, 0.799157
0.0374503, 0.799439
0.0374241, 0.798319
